pestisit_adi,kullanildigi_urun,mrl_limiti
Aldrin and Dieldrin,"Garden pea, shelled (succulent seeds)",1.0
Aldrin and Dieldrin,Milks,0.0060
Aldrin and Dieldrin,Cereal grains (group),0.02
Aldrin and Dieldrin,Poultry meat,0.2
Aldrin and Dieldrin,Pome fruits (group),0.05
Aldrin and Dieldrin,Leafy vegetables (group),0.05
Aldrin and Dieldrin,Citrus fruits (group),0.05
Aldrin and Dieldrin,Bulb vegetables (group),0.05
Aldrin and Dieldrin,Root and tuber vegetables (group),0.1
Aldrin and Dieldrin,Eggs,0.1
Aldrin and Dieldrin,Meat (from mammals other than marine mammals),0.2
Aldrin and Dieldrin,"Fruiting vegetables, cucurbits (group)",0.1
Aldrin and Dieldrin,Pulses (group),0.05
Aldrin and Dieldrin,Legume vegetables (group),0.05
Azinphos-Methyl,Spices,0.5
Captan,"Grape, dried (= Currants, Raisins and Sultanas)",50.0
Captan,Cherries (subgroup),25.0
Captan,"Spices, roots and rhizomes",0.05
Captan,Tomato,5.0
Captan,Peach,20.0
Captan,Strawberry,15.0
Captan,Plums (including fresh prunes) (subgroup),10.0
Captan,Pome fruits (group),15.0
Captan,Melons (except watermelon),10.0
Captan,Nectarine,3.0
Captan,"Raspberries, red, black",20.0
Captan,Blueberries,20.0
Captan,Grapes,25.0
Captan,Potato,0.05
Captan,Almonds,0.3
Captan,Cucumber,3.0
Carbaryl,Cranberry,5.0
Carbaryl,Beetroot,0.1
Carbaryl,Table olives,30.0
Carbaryl,"Peppers chili, dried",2.0
Carbaryl,"Peppers, sweet (including pimento or pimiento)",5.0
Carbaryl,"Maize oil, crude",0.1
Carbaryl,Maize,0.02
Carbaryl,"Wheat bran, unprocessed",2.0
Carbaryl,Tree nuts (group),1.0
Carbaryl,Tomato juice,3.0
Carbaryl,"Liver of cattle, goats, pigs & sheep",1.0
Carbaryl,"Spices, fruits and berries",0.8
Carbaryl,"Sunflower seed oil, crude",0.05
Carbaryl,"Wheat, hay and/or straw",30.0
Carbaryl,Tomato paste,10.0
Carbaryl,"Soya bean oil, crude",0.2
Carbaryl,Soya bean hulls,0.3
Carbaryl,"Soya bean, hay and/or straw",15.0
Carbaryl,Sweet corn (corn-on-the-cob),0.1
Carbaryl,"Turnip, Garden",1.0
Carbaryl,Asparagus,15.0
Carbaryl,Sunflower seed,0.2
Carbaryl,Wheat germ,1.0
Carbaryl,"Kidney of cattle, goats, pigs and sheep",3.0
Carbaryl,Sorghum forage (dry),50.0
Carbaryl,Carrot,0.5
Carbaryl,Wheat flour,0.2
Carbaryl,Tomato,5.0
Carbaryl,Sweet potato,0.02
Carbaryl,Almond hulls,50.0
Carbaryl,"Rice, hay and/or straw",120.0
Carbaryl,"Spices, roots and rhizomes",0.1
Carbaryl,"Rice bran, unprocessed",170.0
Carbaryl,Milks,0.05
Carbaryl,Peppers chili,0.5
Carbaryl,Soya bean (dry),0.2
Carbaryl,Rice hulls,50.0
Carbaryl,Meat (from mammals other than marine mammals),0.05
Carbaryl,Citrus fruits (group),15.0
Carbaryl,Maize fodder (dry),250.0
Carbaryl,Wheat,2.0
Carbaryl,"Olive oil, virgin",25.0
Carbaryl,Eggplant,1.0
Carbaryl,"Rice, polished",1.0
Carbaryl,Sweet corn cannery waste,7.4
Chlordane,"Rice, polished",0.02
Chlordane,Eggs,0.02
Chlordane,Oats,0.02
Chlordane,"Soya bean oil, refined",0.02
Chlordane,Rye,0.02
Chlordane,Pecan,0.02
Chlordane,Fruits and vegetables,0.02
Chlordane,Walnuts,0.02
Chlordane,Wheat,0.02
Chlordane,Sorghum grain,0.02
Chlordane,Milks,0.0020
Chlordane,Meat (from mammals other than marine mammals),0.05
Chlordane,"Soya bean oil, crude",0.05
Chlordane,"Cotton seed oil, crude",0.05
Chlordane,"Linseed oil, crude",0.05
Chlordane,Maize,0.02
Chlordane,Hazelnuts,0.02
Chlordane,Poultry meat,0.5
Chlordane,Almonds,0.02
Chlormequat,"Rye straw and fodder, dry",20.0
Chlormequat,Mammalian fats (except milk fats),0.1
Chlormequat,Milks,0.2
Chlormequat,Barley,2.0
Chlormequat,Grapes,0.04
Chlormequat,Cotton seed,0.5
Chlormequat,"Oat straw and fodder, dry",7.0
Chlormequat,Edible offal (mammalian),0.5
Chlormequat,Wheat germ,20.0
Chlormequat,"Barley, hay and/or straw",200.0
Chlormequat,Rye wholemeal,8.0
Chlormequat,Poultry meat,0.04
Chlormequat,Eggs,0.2
Chlormequat,Oats,4.0
Chlormequat,"Poultry, edible offal of",0.2
Chlormequat,"Rye bran, unprocessed",20.0
Chlormequat,Poultry fats,0.04
Chlormequat,"Wheat bran, unprocessed",10.0
Chlormequat,"Triticale, hay and/or straw",80.0
Chlormequat,Triticale,5.0
Chlormequat,Rye,6.0
Chlormequat,Meat (from mammals other than marine mammals),0.2
Chlormequat,"Wheat, hay and/or straw",200.0
Chlormequat,Wheat,4.0
Chlorpyrifos,Acerola,
"2,4-D",Tree nuts (group),0.2
"2,4-D",Eggs,0.01
"2,4-D",Stone fruits (group),0.05
"2,4-D",Berries and other small fruits,0.1
"2,4-D",Edible offal (mammalian),5.0
"2,4-D",Hay and/or straw of grasses for animal feed (subgroup),400.0
"2,4-D",Pome fruits (group),0.01
"2,4-D",Maize,0.05
"2,4-D","Poultry, edible offal of",0.05
"2,4-D","Soya bean, hay and/or straw",0.01
"2,4-D",Maize fodder (dry),40.0
"2,4-D","Wheat, hay and/or straw",100.0
"2,4-D",Sorghum grain,0.01
"2,4-D",Rye,2.0
"2,4-D",Potato,0.2
"2,4-D","Rice, husked",0.1
"2,4-D",Sugar cane,0.05
"2,4-D","Rice, hay and/or straw",10.0
"2,4-D",Sweet corn (corn-on-the-cob),0.05
"2,4-D",Milks,0.01
"2,4-D",Wheat,2.0
"2,4-D",Citrus fruits (group),1.0
"2,4-D",Meat (from mammals other than marine mammals),0.2
"2,4-D",Soya bean (dry),0.01
"2,4-D",Poultry meat,0.05
DDT,Poultry meat,0.3
DDT,Cereal grains (group),0.1
DDT,Carrot,0.2
DDT,Eggs,0.1
DDT,Milks,0.02
DDT,Meat (from mammals other than marine mammals),5.0
Dichlorvos,Rice,7.0
Dichlorvos,"Wheat bran, unprocessed",15.0
Dichlorvos,Mammalian fats (except milk fats),0.01
Dichlorvos,Edible offal (mammalian),0.01
Dichlorvos,Spices,0.1
Dichlorvos,"Poultry, edible offal of",0.01
Dichlorvos,Wheat flour,0.7
Dichlorvos,Poultry fats,0.01
Dichlorvos,Milks,0.01
Dichlorvos,Poultry meat,0.01
Dichlorvos,Wheat wholemeal,3.0
Dichlorvos,"Rice bran, unprocessed",15.0
Dichlorvos,"Rice, husked",1.5
Dichlorvos,"Rice, polished",0.15
Dichlorvos,Wheat,7.0
Dichlorvos,Meat (from mammals other than marine mammals),0.01
Dichlorvos,Eggs,0.01
Dicofol,"Tea, green, black (black, fermented and dried)",40.0
Dicofol,"Spices, roots and rhizomes",0.1
Dicofol,"Spices, seeds",0.05
Dicofol,"Spices, fruits and berries",0.1
Dimethoate,Milks,0.0010
Dimethoate,Eggs,0.0010
Dimethoate,Avocado,2.0
Dimethoate,Edible offal (mammalian),0.0010
Dimethoate,Mandarins (including mandarin-like hybrids) (subgroup),2.0
Dimethoate,Yard-long bean (pods),0.07
Dimethoate,Meat (from mammals other than marine mammals),0.0010
Dimethoate,Wheat germ,0.2
Dimethoate,Dry beans (subgroup),0.7
Dimethoate,"Wheat bran, processed",0.3
Dimethoate,Poultry meat,0.0010
Dimethoate,Poultry fats,0.0010
Dimethoate,Brussels sprouts,0.1
Dimethoate,"Wheat, hay and/or straw",4.0
Dimethoate,"Poultry, edible offal of",0.0010
Dimethoate,Mammalian fats (except milk fats),0.03
Dimethoate,Rape seed,0.15
Dimethoate,Tomato,0.01
Dimethoate,Wheat,0.06
Diphenylamine,Cattle liver,0.05
Diphenylamine,Apple juice,0.5
Diphenylamine,Cattle kidney,0.01
Diphenylamine,Pear,5.0
Diphenylamine,Cattle meat,0.01
Diphenylamine,Milks,0.01
Diphenylamine,Milk fats,0.01
Diphenylamine,Apple,10.0
Endosulfan,Cacao beans,0.2
Endosulfan,Tomato,0.5
Endosulfan,Cucumber,1.0
Endosulfan,Papaya,0.5
Endosulfan,Potato,0.05
Endosulfan,Macadamia nuts,0.02
Endosulfan,Melons (except watermelon),2.0
Endosulfan,"Poultry, edible offal of",0.03
Endosulfan,Milks,0.01
Endosulfan,Mango,0.5
Endosulfan,Avocado,0.5
Endosulfan,"Spices, seeds",1.0
Endosulfan,"Kidney of cattle, goats, pigs and sheep",0.03
Endosulfan,"Spices, fruits and berries",5.0
Endosulfan,Custard apple,0.5
Endosulfan,Cotton seed,0.3
Endosulfan,Eggs,0.03
Endosulfan,"Spices, roots and rhizomes",0.5
Endosulfan,"Tea, green, black (black, fermented and dried)",10.0
Endosulfan,Coffee beans,0.2
Endosulfan,"Persimmon, American",2.0
Endosulfan,Sweet potato,0.05
Endosulfan,"Liver of cattle, goats, pigs & sheep",0.1
Endosulfan,Milk fats,0.1
Endosulfan,Meat (from mammals other than marine mammals),0.2
Endosulfan,Hazelnuts,0.02
Endosulfan,Soya bean (dry),1.0
Endosulfan,"Soya bean oil, crude",2.0
Endosulfan,"Squash, summer",0.5
Endosulfan,Litchi,2.0
Endosulfan,Poultry meat,0.03
Endosulfan,Eggplant,0.1
Endrin,Poultry meat,0.1
Endrin,"Fruiting vegetables, cucurbits (group)",0.05
Ethion,"Spices, seeds",3.0
Ethion,"Spices, fruits and berries",5.0
Ethion,"Spices, roots and rhizomes",0.3
Ethoxyquin,Pear,3.0
Fenitrothion,"Spices, roots and rhizomes",0.1
Fenitrothion,Milks,0.01
Fenitrothion,Meat (from mammals other than marine mammals),0.05
Fenitrothion,"Spices, seeds",7.0
Fenitrothion,Edible offal (mammalian),0.05
Fenitrothion,"Spices, fruits and berries",1.0
Fenitrothion,"Rice bran, unprocessed",40.0
Fenitrothion,Poultry meat,0.05
Fenitrothion,Cereal grains (group),6.0
Fenitrothion,Soya bean (dry),0.01
Fenitrothion,"Wheat bran, unprocessed",25.0
Fenitrothion,Apple,0.5
Fenitrothion,Eggs,0.05
Fenthion,Table olives,1.0
Fenthion,"Olive oil, virgin",1.0
Fenthion,"Rice, husked",0.05
Fenthion,Citrus fruits (group),2.0
Fenthion,Cherries (subgroup),2.0
Folpet,Apple,10.0
Folpet,"Lettuce, head",50.0
Folpet,Potato,0.1
Folpet,"Grape, dried (= Currants, Raisins and Sultanas)",40.0
Folpet,"Onion, bulb",1.0
Folpet,Melons (except watermelon),3.0
Folpet,Strawberry,5.0
Folpet,Grapes,10.0
Folpet,Tomato,3.0
Folpet,Cucumber,1.0
Heptachlor,Cotton seed,0.02
Heptachlor,Cereal grains (group),0.02
Heptachlor,Milks,0.0060
Heptachlor,Citrus fruits (group),0.01
Heptachlor,Soya bean (immature seeds),0.02
Heptachlor,Meat (from mammals other than marine mammals),0.2
Heptachlor,Eggs,0.05
Heptachlor,"Soya bean oil, refined",0.02
Heptachlor,"Soya bean oil, crude",0.5
Heptachlor,Poultry meat,0.2
Heptachlor,Pineapple,0.01
Hydrogen Phosphide,Spices,0.01
Hydrogen Phosphide,Cacao beans,0.01
Hydrogen Phosphide,Dried fruits,0.01
Hydrogen Phosphide,Cereal grains (group),0.1
Hydrogen Phosphide,Dried vegetables,0.01
Hydrogen Phosphide,Peanut,0.01
Hydrogen Phosphide,Tree nuts (group),0.01
Lindane,Cereal grains (group),0.01
Lindane,Diadromous fish,0.01
Lindane,Poultry meat,0.0050
Lindane,Eggs,0.0010
Lindane,Sweet corn (kernels),0.01
Lindane,Marine fish,0.01
Lindane,Meat (from mammals other than marine mammals),0.01
Lindane,Edible offal (mammalian),0.0010
Lindane,Straw and hay of cereal grains (excluding pseudocereals) (subgroup),0.01
Lindane,Milks,0.0010
Lindane,"Poultry, edible offal of",0.0050
Malathion,Turnip greens,5.0
Malathion,Beans with pods (Phaseolus spp.) (immature pods and succulent seeds),1.0
Malathion,"Cotton seed oil, edible",13.0
Malathion,Maize,0.05
Malathion,Spring onion,5.0
Malathion,Spinach,3.0
Malathion,Strawberry,1.0
Malathion,Peppers (subgroup),0.1
Malathion,"Peppers chili, dried",1.0
Malathion,Citrus fruits (group),7.0
Malathion,Wheat,10.0
Malathion,Bean (dry),2.0
Malathion,Apple,0.5
Malathion,"Spices, fruits and berries",1.0
Malathion,Asparagus,1.0
Malathion,Cucumber,0.2
Malathion,"Onion, bulb",1.0
Malathion,"Turnip, Garden",0.2
Malathion,Sweet corn (corn-on-the-cob),0.02
Malathion,"Wheat bran, unprocessed",25.0
Malathion,Grapes,5.0
Malathion,"Spices, roots and rhizomes",0.5
Malathion,Tomato,0.5
Malathion,"Cotton seed oil, crude",13.0
Malathion,"Spices, seeds",2.0
Malathion,Tomato juice,0.01
Malathion,Mustard greens,2.0
Malathion,Wheat flour,0.2
Malathion,Cherries (subgroup),3.0
Malathion,Cotton seed,20.0
Malathion,Sorghum grain,3.0
Malathion,Blueberries,10.0
Omethoate,Brussels sprouts,0.03
Omethoate,Mammalian fats (except milk fats),0.0030
Omethoate,"Wheat, hay and/or straw",0.3
Omethoate,Rape seed,0.03
Omethoate,"Wheat bran, processed",0.15
Omethoate,Tomato,0.01
Omethoate,Milks,0.0015
Omethoate,Poultry meat,0.0010
Omethoate,Avocado,0.15
Omethoate,Poultry fats,0.0010
Omethoate,Edible offal (mammalian),0.0050
Omethoate,"Poultry, edible offal of",0.0010
Omethoate,Mandarins (including mandarin-like hybrids) (subgroup),0.02
Omethoate,Wheat germ,0.06
Omethoate,Eggs,0.0010
Omethoate,Wheat,0.03
Omethoate,Dry beans (subgroup),0.08
Omethoate,Yard-long bean (pods),0.05
Omethoate,Meat (from mammals other than marine mammals),0.0050
2-Phenylphenol,Pear,20.0
2-Phenylphenol,Orange juice,0.5
2-Phenylphenol,"Citrus pulp, dried",60.0
2-Phenylphenol,Citrus fruits (group),10.0
Paraquat,Maize flour,0.05
Paraquat,Berries and other small fruits,0.01
Paraquat,Maize fodder (dry),10.0
Paraquat,Poultry meat,0.0050
Paraquat,Stone fruits (group),0.01
Paraquat,"Fruiting vegetables, other than cucurbits (group)",0.05
Paraquat,Meat (from mammals other than marine mammals),0.0050
Paraquat,Eggs,0.0050
Paraquat,"Soya bean, hay and/or straw",0.5
Paraquat,Milks,0.0050
Paraquat,"Poultry, edible offal of",0.0050
Paraquat,Assorted tropical and sub-tropical fruits - inedible peel,0.01
Paraquat,Citrus fruits (group),0.02
Paraquat,"Hops, dry",0.1
Paraquat,"Tea, green, black (black, fermented and dried)",0.2
Paraquat,Sunflower seed,2.0
Paraquat,"Sorghum straw and fodder, dry",0.3
Paraquat,Maize,0.03
Paraquat,Pulses (group),0.5
Paraquat,Sorghum grain,0.03
Paraquat,Tree nuts (group),0.05
Paraquat,Pome fruits (group),0.01
Paraquat,Rice,0.05
Paraquat,"Fruiting vegetables, cucurbits (group)",0.02
Paraquat,Cotton seed,2.0
Paraquat,Leafy vegetables (group),0.07
Paraquat,Almond hulls,0.01
Paraquat,Edible offal (mammalian),0.05
Paraquat,Root and tuber vegetables (group),0.05
Paraquat,Table olives,0.1
Paraquat,"Rice, hay and/or straw",0.05
Parathion,"Spices, roots and rhizomes",0.2
Parathion,"Spices, fruits and berries",0.2
Parathion,"Spices, seeds",0.1
Parathion-Methyl,"Grape, dried (= Currants, Raisins and Sultanas)",1.0
Parathion-Methyl,Potato,0.05
Parathion-Methyl,Nectarine,0.3
Parathion-Methyl,"Spices, seeds",5.0
Parathion-Methyl,"Cabbages, head",0.05
Parathion-Methyl,Grapes,0.5
Parathion-Methyl,Bean (dry),0.05
Parathion-Methyl,Apple,0.2
Parathion-Methyl,"Spices, fruits and berries",5.0
Parathion-Methyl,Peas (dry),0.3
Parathion-Methyl,"Spices, roots and rhizomes",3.0
Parathion-Methyl,Peach,0.3
Parathion-Methyl,Sugar beet,0.05
Phosalone,"Spices, roots and rhizomes",3.0
Phosalone,"Spices, fruits and berries",2.0
Phosalone,"Spices, seeds",2.0
Piperonyl Butoxide,"Wheat bran, unprocessed",80.0
Piperonyl Butoxide,Pulses (group),0.2
Piperonyl Butoxide,Tomato,2.0
Piperonyl Butoxide,Cattle liver,1.0
Piperonyl Butoxide,"Fruiting vegetables, cucurbits (group)",1.0
Piperonyl Butoxide,Radish leaves (including radish tops),50.0
Piperonyl Butoxide,Cereal grains (group),30.0
Piperonyl Butoxide,Root and tuber vegetables (group),0.5
Piperonyl Butoxide,Cattle milk,0.2
Piperonyl Butoxide,"Kidney of cattle, goats, pigs and sheep",0.2
Piperonyl Butoxide,"Poultry, edible offal of",10.0
Piperonyl Butoxide,"Maize oil, crude",80.0
Piperonyl Butoxide,Tomato juice,0.3
Piperonyl Butoxide,Wheat flour,10.0
Piperonyl Butoxide,Mustard greens,50.0
Piperonyl Butoxide,Spinach,50.0
Piperonyl Butoxide,Wheat germ,90.0
Piperonyl Butoxide,"Liver of cattle, goats, pigs & sheep",1.0
Piperonyl Butoxide,Dried fruits,0.2
Piperonyl Butoxide,Eggs,1.0
Piperonyl Butoxide,"Pea, hay and/or straw",200.0
Piperonyl Butoxide,Peppers (subgroup),2.0
Piperonyl Butoxide,Cattle meat,5.0
Piperonyl Butoxide,"Lettuce, leaf",50.0
Piperonyl Butoxide,Wheat wholemeal,30.0
Piperonyl Butoxide,Meat (from mammals other than marine mammals),2.0
Piperonyl Butoxide,Citrus juice,0.05
Piperonyl Butoxide,"Peanut, whole",1.0
Piperonyl Butoxide,Cattle kidney,0.3
Piperonyl Butoxide,"Peppers chili, dried",20.0
Piperonyl Butoxide,Citrus fruits (group),5.0
Piperonyl Butoxide,Poultry meat,7.0
Piperonyl Butoxide,Milks,0.05
Pyrethrins,"Fruiting vegetables, cucurbits (group)",0.05
Pyrethrins,Dried fruits,0.2
Pyrethrins,Citrus fruits (group),0.05
Pyrethrins,Pulses (group),0.1
Pyrethrins,Cereal grains (group),0.3
Pyrethrins,Peanut,0.5
Pyrethrins,Tomato,0.05
Pyrethrins,Tree nuts (group),0.5
Pyrethrins,Root and tuber vegetables (group),0.05
Pyrethrins,"Pea, hay and/or straw",1.0
Pyrethrins,"Peppers chili, dried",0.5
Pyrethrins,Peppers (subgroup),0.05
Quintozene,Barley,0.01
Quintozene,Chicken meat,0.1
Quintozene,Tomato,0.02
Quintozene,"Pea, hay and/or straw",0.05
Quintozene,Maize,0.01
Quintozene,"Peppers, sweet (including pimento or pimiento)",0.05
Quintozene,"Wheat, hay and/or straw",0.03
Quintozene,Wheat,0.01
Quintozene,Broccoli,0.05
Quintozene,"Spices, seeds",0.1
Quintozene,"Peppers chili, dried",0.1
Quintozene,Soya bean (dry),0.01
Quintozene,Maize fodder (dry),0.01
Quintozene,"Barley, hay and/or straw",0.01
Quintozene,Sugar beet,0.01
Quintozene,"Soya bean, hay and/or straw",0.01
Quintozene,Common bean (pods and/or immature seeds),0.1
Quintozene,Cotton seed,0.01
Quintozene,"Spices, fruits and berries",0.02
Quintozene,Common bean (dry),0.02
Quintozene,"Spices, roots and rhizomes",2.0
Quintozene,Peanut,0.5
Quintozene,Eggs,0.03
Quintozene,"Cabbages, head",0.1
Quintozene,"Chicken, edible offal of",0.1
Quintozene,Peas (dry),0.01
Cyhexatin,"Currants, black, red, white",0.1
Cyhexatin,Apple,0.2
Cyhexatin,Grapes,0.3
Cyhexatin,"Peppers chili, dried",5.0
Cyhexatin,Pear,0.2
Cyhexatin,"Oranges, sweet, sour (including Orange-like hybrids) (subgroup)",0.2
Carbendazim,Berries and other small fruits,1.0
Carbendazim,Edible offal (mammalian),0.05
Carbendazim,Eggs,0.05
Carbendazim,Cattle meat,0.05
Carbendazim,"Squash, summer",0.5
Carbendazim,Nectarine,2.0
Carbendazim,"Soya bean, hay and/or straw",0.1
Carbendazim,"Peppers chili, dried",20.0
Carbendazim,Pineapple,5.0
Carbendazim,Sugar beet,0.1
Carbendazim,Grapes,3.0
Carbendazim,"Oranges, sweet, sour (including Orange-like hybrids) (subgroup)",1.0
Carbendazim,"Spices, roots and rhizomes",0.1
Carbendazim,Peanut,0.1
Carbendazim,Rape seed,0.05
Carbendazim,Cucumber,0.05
Carbendazim,"Spices, seeds",5.0
Carbendazim,Banana,0.2
Carbendazim,Milks,0.05
Carbendazim,"Barley, hay and/or straw",2.0
Carbendazim,"Rice, husked",2.0
Carbendazim,Plums (including fresh prunes) (subgroup),0.5
Carbendazim,Asparagus,0.2
Carbendazim,Gherkin,0.05
Carbendazim,Carrot,0.2
Carbendazim,Mango,5.0
Carbendazim,Barley,0.5
Carbendazim,Brussels sprouts,0.5
Carbendazim,"Lettuce, head",5.0
Carbendazim,Apricot,2.0
Carbendazim,Coffee beans,0.1
Carbendazim,Common bean (pods and/or immature seeds),0.5
Carbendazim,Wheat,0.05
Carbendazim,Cherries (subgroup),10.0
Carbendazim,Soya bean (dry),0.5
Carbendazim,Peanut fodder,3.0
Carbendazim,Pome fruits (group),3.0
Carbendazim,Poultry meat,0.05
Carbendazim,Peppers chili,2.0
Carbendazim,Tree nuts (group),0.1
Carbendazim,"Rice, hay and/or straw",15.0
Carbendazim,Chicken fat,0.05
Carbendazim,"Spices, fruits and berries",0.1
Carbendazim,Peach,2.0
Carbendazim,Bean (dry),0.5
Carbendazim,Tomato,0.5
Carbendazim,Rye,0.1
Carbendazim,"Garden pea, shelled (succulent seeds)",0.02
Carbendazim,"Wheat, hay and/or straw",1.0
Disulfoton,Pecan,0.1
Disulfoton,Spices,0.05
Disulfoton,"Milk of cattle, goats & sheep",0.01
Disulfoton,"Wheat, hay and/or straw",5.0
Disulfoton,"Barley, hay and/or straw",3.0
Disulfoton,Coffee beans,0.2
Disulfoton,Sweet corn (kernels),0.02
Disulfoton,Pineapple,0.1
Disulfoton,Sweet corn (corn-on-the-cob),0.02
Disulfoton,Oats,0.02
Disulfoton,Cotton seed,0.1
Disulfoton,Maize,0.02
Disulfoton,Poultry meat,0.02
Disulfoton,Wheat,0.2
Disulfoton,"Oat straw and fodder, dry",0.05
Disulfoton,Barley,0.2
Disulfoton,"Garden pea (young pods)(=succulent, immature seeds)",0.1
Disulfoton,Asparagus,0.02
Disulfoton,Peanut,0.1
Disulfoton,Maize fodder (dry),3.0
Disulfoton,Bean (dry),0.2
Disulfoton,Common bean (pods and/or immature seeds),0.2
Disulfoton,"Alfalfa, hay and/or straw",5.0
Disulfoton,"Garden pea, shelled (succulent seeds)",0.02
Disulfoton,Sugar beet,0.2
Disulfoton,Chicken eggs,0.02
Disulfoton,"Clover, hay and/or straw",10.0
Thiophanate-Methyl,Almonds,0.15
Amitrole,Grapes,0.05
Amitrole,Stone fruits (group),0.05
Amitrole,Pome fruits (group),0.05
Dodine,Peach,5.0
Dodine,Nectarine,5.0
Dodine,Pome fruits (group),5.0
Dodine,Cherries (subgroup),3.0
Fenamiphos,Eggs,0.01
Fenamiphos,Milks,0.0050
Fenamiphos,Edible offal (mammalian),0.01
Fenamiphos,Meat (from mammals other than marine mammals),0.01
Fenamiphos,Apple,0.05
Fenamiphos,Cotton seed,0.05
Fenamiphos,"Cabbages, head",0.05
Fenamiphos,"Peanut oil, crude",0.05
Fenamiphos,"Cotton seed oil, crude",0.05
Fenamiphos,Melons (except watermelon),0.05
Fenamiphos,"Poultry, edible offal of",0.01
Fenamiphos,Poultry meat,0.01
Fenamiphos,Peanut,0.05
Fenamiphos,Banana,0.05
Fenamiphos,Brussels sprouts,0.05
Pirimiphos-Methyl,"Poultry, edible offal of",0.01
Pirimiphos-Methyl,"Spices, seeds",3.0
Pirimiphos-Methyl,Poultry meat,0.01
Pirimiphos-Methyl,Edible offal (mammalian),0.01
Pirimiphos-Methyl,Cereal grains (group),7.0
Pirimiphos-Methyl,Milks,0.01
Pirimiphos-Methyl,Eggs,0.01
Pirimiphos-Methyl,"Wheat bran, unprocessed",15.0
Pirimiphos-Methyl,"Spices, fruits and berries",0.5
Pirimiphos-Methyl,Meat (from mammals other than marine mammals),0.01
Dinocap,Cucumber,0.07
Dinocap,Melons (except watermelon),0.5
Dinocap,"Squash, summer",0.07
Dinocap,"Fruiting vegetables, cucurbits (group)",0.05
Dinocap,Grapes,0.5
Dinocap,Strawberry,0.5
Dinocap,Apple,0.2
Dinocap,Peach,0.1
Dinocap,Tomato,0.3
Dinocap,Peppers (subgroup),0.2
Dinocap,"Peppers chili, dried",2.0
Chlorpyrifos-Methyl,Eggs,0.01
Chlorpyrifos-Methyl,"Spices, fruits and berries",0.3
Chlorpyrifos-Methyl,Tomato,1.0
Chlorpyrifos-Methyl,"Peppers chili, dried",10.0
Chlorpyrifos-Methyl,Potato,0.01
Chlorpyrifos-Methyl,Citrus fruits (group),2.0
Chlorpyrifos-Methyl,"Spices, seeds",1.0
Chlorpyrifos-Methyl,Eggplant,1.0
Chlorpyrifos-Methyl,"Poultry, edible offal of",0.01
Chlorpyrifos-Methyl,Pome fruits (group),1.0
Chlorpyrifos-Methyl,Wheat,3.0
Chlorpyrifos-Methyl,Milk fats,0.01
Chlorpyrifos-Methyl,"Spices, roots and rhizomes",5.0
Chlorpyrifos-Methyl,Poultry meat,0.01
Chlorpyrifos-Methyl,Strawberry,0.06
Chlorpyrifos-Methyl,Barley,3.0
Chlorpyrifos-Methyl,Grapes,1.0
Chlorpyrifos-Methyl,"Grape pomace, dried",5.0
Chlorpyrifos-Methyl,"Wheat bran, unprocessed",6.0
Chlorpyrifos-Methyl,Edible offal (mammalian),0.01
Chlorpyrifos-Methyl,Peppers (subgroup),1.0
Chlorpyrifos-Methyl,Meat (from mammals other than marine mammals),0.1
Chlorpyrifos-Methyl,Wheat germ,5.0
Chlorpyrifos-Methyl,Stone fruits (group),0.5
Chlorpyrifos-Methyl,Milks,0.01
Methomyl,Soya bean (dry),0.2
Methomyl,"Lettuce, head",0.2
Methomyl,Oats,0.02
Methomyl,Citrus fruits (group),1.0
Methomyl,"Maize oil, edible",0.02
Methomyl,"Lettuce, leaf",0.2
Methomyl,"Soya bean oil, crude",0.2
Methomyl,"Alfalfa, hay and/or straw",20.0
Methomyl,Tomato,1.0
Methomyl,"Wheat, hay and/or straw",5.0
Methomyl,"Cotton seed oil, edible",0.04
Methomyl,"Bean, hay and/or straw",10.0
Methomyl,Peas (pods and succulent=immature seeds),5.0
Methomyl,"Onion, bulb",0.2
Methomyl,Soya bean hulls,1.0
Methomyl,Rape seed,0.05
Methomyl,Common bean (pods and/or immature seeds),1.0
Methomyl,Wheat germ,2.0
Methomyl,Grapes,0.3
Methomyl,Eggs,0.02
Methomyl,Peppers (subgroup),0.7
Methomyl,Plums (including fresh prunes) (subgroup),1.0
Methomyl,"Peppers chili, dried",10.0
Methomyl,Mint hay,0.5
Methomyl,Apple,0.3
Methomyl,Cotton seed,0.2
Methomyl,"Spices, fruits and berries",0.07
Methomyl,"Citrus pulp, dried",3.0
Methomyl,Peach,0.2
Methomyl,"Fruiting vegetables, cucurbits (group)",0.1
Methomyl,"Straw, fodder (dry) and hay of cereal grains and other grass-like plants",10.0
Methomyl,Milks,0.02
Methomyl,Wheat flour,0.03
Methomyl,Soya bean meal,20.0
Methomyl,"Soya bean, hay and/or straw",0.2
Methomyl,Poultry meat,0.02
Methomyl,Potato,0.02
Methomyl,"Wheat bran, unprocessed",3.0
Methomyl,Nectarine,0.2
Methomyl,Maize,0.02
Methomyl,Wheat,2.0
Methomyl,Beans with pods (Phaseolus spp.) (immature pods and succulent seeds),1.0
Methomyl,Asparagus,2.0
Methomyl,"Poultry, edible offal of",0.02
Methomyl,Bean (dry),0.05
Methomyl,"Cotton seed, hulls",0.2
Methomyl,Edible offal (mammalian),0.02
Methomyl,Barley,2.0
